"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 06:00","2024","12","02","06:00","0.6","","-1.5","","86","","","","28","","6","","","","101.44","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 07:00","2024","12","02","07:00","1.3","","-0.8","","86","","","","30","","6","","","","101.43","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 08:00","2024","12","02","08:00","0.7","","-0.4","","92","","","","30","","11","","","","101.48","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 09:00","2024","12","02","09:00","0.9","","-1.1","","86","","","","28","","9","","","","101.54","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 10:00","2024","12","02","10:00","1.2","","-0.7","","87","","","","32","","7","","","","101.55","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 11:00","2024","12","02","11:00","1.7","","-0.6","","85","","","","32","","9","","","","101.54","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 12:00","2024","12","02","12:00","2.6","","-2.0","","71","","","","33","","9","","","","101.46","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 13:00","2024","12","02","13:00","3.5","","-2.8","","63","","","","34","","10","","","","101.44","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 14:00","2024","12","02","14:00","4.1","","-4.6","","53","","","","32","","12","","","","101.40","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 15:00","2024","12","02","15:00","3.8","","-4.7","","54","","","","29","","10","","","","101.39","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 16:00","2024","12","02","16:00","3.0","","-1.5","","72","","","","34","","22","","","","101.45","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 17:00","2024","12","02","17:00","2.7","","-3.1","","66","","","","34","","14","","","","101.49","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 18:00","2024","12","02","18:00","2.2","","-1.5","","76","","","","33","","17","","","","101.49","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 19:00","2024","12","02","19:00","1.2","","-1.6","","81","","","","32","","13","","","","101.50","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 20:00","2024","12","02","20:00","0.8","","-1.9","","82","","","","32","","12","","","","101.49","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 21:00","2024","12","02","21:00","0.5","","-2.4","","81","","","","29","","8","","","","101.45","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 22:00","2024","12","02","22:00","0.1","","-1.1","","92","","","","30","","8","","","","101.48","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-02 23:00","2024","12","02","23:00","-0.2","","-1.1","","94","","","","32","","9","","","","101.47","","","","-3","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 00:00","2024","12","03","00:00","-0.7","","-2.0","","91","","","","32","","8","","","","101.42","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 01:00","2024","12","03","01:00","-1.1","","-2.9","","88","","","","29","","7","","","","101.46","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 02:00","2024","12","03","02:00","-0.9","","-2.5","","89","","","","32","","10","","","","101.46","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 03:00","2024","12","03","03:00","-0.9","","-2.3","","91","","","","33","","11","","","","101.48","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 04:00","2024","12","03","04:00","-0.8","","-1.7","","94","","","","34","","13","","","","101.42","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 05:00","2024","12","03","05:00","-0.8","","-2.4","","89","","","","33","","14","","","","101.42","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 06:00","2024","12","03","06:00","-1.1","","-3.0","","87","","","","33","","14","","","","101.44","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 07:00","2024","12","03","07:00","-1.2","","-2.6","","91","","","","34","","13","","","","101.50","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 08:00","2024","12","03","08:00","-1.3","","-2.9","","88","","","","29","","7","","","","101.56","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 09:00","2024","12","03","09:00","-0.4","","-4.2","","76","","","","27","","9","","","","101.61","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 10:00","2024","12","03","10:00","0.2","","-3.8","","75","","","","30","","8","","","","101.63","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 11:00","2024","12","03","11:00","0.0","","-5.4","","67","","","","26","","11","","","","101.60","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 12:00","2024","12","03","12:00","0.2","","-6.2","","62","","","","31","","18","","","","101.54","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 13:00","2024","12","03","13:00","0.9","","-4.0","","70","","","","32","","17","","","","101.53","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 14:00","2024","12","03","14:00","0.8","","-6.6","","58","","","","29","","16","","","","101.53","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 15:00","2024","12","03","15:00","0.9","","-5.0","","65","","","","31","","19","","","","101.55","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 16:00","2024","12","03","16:00","0.2","","-7.2","","57","","","","28","","16","","","","101.61","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 17:00","2024","12","03","17:00","-0.1","","-7.2","","59","","","","29","","14","","","","101.66","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 18:00","2024","12","03","18:00","-0.4","","-7.5","","59","","","","28","","15","","","","101.72","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 19:00","2024","12","03","19:00","-0.9","","-7.9","","59","","","","26","","9","","","","101.76","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 20:00","2024","12","03","20:00","-1.2","","-7.1","","64","","","","25","","9","","","","101.79","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 21:00","2024","12","03","21:00","-1.3","","-6.5","","68","","","","26","","9","","","","101.80","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 22:00","2024","12","03","22:00","-1.2","","-6.1","","69","","","","27","","8","","","","101.82","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-03 23:00","2024","12","03","23:00","-1.3","","-5.9","","71","","","","26","","7","","","","101.85","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 00:00","2024","12","04","00:00","-1.7","","-5.7","","74","","","","26","","6","","","","101.87","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 01:00","2024","12","04","01:00","-2.0","","-5.4","","77","","","","26","","5","","","","101.88","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 02:00","2024","12","04","02:00","-2.3","","-5.2","","81","","","","26","","3","","","","101.88","","","","-3","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 03:00","2024","12","04","03:00","-2.3","","-4.3","","86","","","","29","","3","","","","101.90","","","","-3","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 04:00","2024","12","04","04:00","-2.6","","-3.8","","92","","","","29","","4","","","","101.91","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 05:00","2024","12","04","05:00","-2.6","","-3.4","","94","","","","28","","5","","","","101.92","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 06:00","2024","12","04","06:00","-1.8","","-1.8","","100","","","","33","","9","","","","101.92","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 07:00","2024","12","04","07:00","-2.2","","-3.0","","94","","","","32","","10","","","","101.95","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 08:00","2024","12","04","08:00","-1.9","","-2.5","","96","","","","33","","12","","","","101.99","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 09:00","2024","12","04","09:00","-2.3","","-2.8","","96","","","","34","","13","","","","102.05","","","","-7","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 10:00","2024","12","04","10:00","-1.7","","-3.4","","88","","","","35","","12","","","","102.05","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 11:00","2024","12","04","11:00","-1.5","","-4.2","","82","","","","34","","15","","","","102.05","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 12:00","2024","12","04","12:00","-1.2","","-5.0","","75","","","","34","","13","","","","102.01","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 13:00","2024","12","04","13:00","-0.9","","-5.5","","71","","","","34","","10","","","","102.00","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 14:00","2024","12","04","14:00","-0.5","","-5.4","","70","","","","33","","12","","","","101.99","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 15:00","2024","12","04","15:00","0.1","","-5.9","","64","","","","32","","14","","","","102.02","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 16:00","2024","12","04","16:00","-0.7","","-7.6","","60","","","","31","","12","","","","102.07","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 17:00","2024","12","04","17:00","-1.0","","-7.4","","62","","","","33","","13","","","","102.09","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 18:00","2024","12","04","18:00","-1.3","","-6.8","","66","","","","33","","11","","","","102.13","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 19:00","2024","12","04","19:00","-2.1","","-8.4","","62","","","","1","","8","","","","102.09","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 20:00","2024","12","04","20:00","-2.5","","-8.0","","65","","","","3","","8","","","","102.09","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 21:00","2024","12","04","21:00","-2.8","","-8.3","","66","","","","","","0","","","","102.09","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 22:00","2024","12","04","22:00","-2.5","","-7.2","","70","","","","6","","7","","","","102.07","","","","-5","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-04 23:00","2024","12","04","23:00","-2.3","","-7.7","","66","","","","6","","3","","","","102.07","","","","-3","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 00:00","2024","12","05","00:00","-2.3","","-6.5","","73","","","","2","","3","","","","102.05","","","","-3","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 01:00","2024","12","05","01:00","-2.1","","-5.9","","75","","","","","","0","","","","101.97","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 02:00","2024","12","05","02:00","-0.8","","-4.0","","79","","","","11","","10","","","","101.90","","","","-4","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 03:00","2024","12","05","03:00","-1.0","","-3.5","","83","","","","8","","20","","","","101.83","","","","-7","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 04:00","2024","12","05","04:00","-0.5","","-2.2","","88","","","","9","","18","","","","101.74","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 05:00","2024","12","05","05:00","0.6","","-2.2","","82","","","","11","","18","","","","101.66","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 06:00","2024","12","05","06:00","3.1","","-1.6","","71","","","","14","","31","","","","101.54","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 07:00","2024","12","05","07:00","3.1","","1.9","","92","","","","14","","40","","","","101.41","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 08:00","2024","12","05","08:00","4.5","","4.2","","98","","","","13","","51","","","","101.20","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 09:00","2024","12","05","09:00","5.1","","4.8","","98","","","","14","","48","","","","101.07","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 10:00","2024","12","05","10:00","5.3","","3.9","","91","","","","14","","47","","","","100.84","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 11:00","2024","12","05","11:00","4.9","","4.2","","95","","","","14","","51","","","","100.62","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 12:00","2024","12","05","12:00","5.9","","5.7","","99","","","","14","","44","","","","100.30","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 13:00","2024","12","05","13:00","6.9","","6.9","","100","","","","15","","33","","","","99.95","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 14:00","2024","12","05","14:00","7.9","","7.9","","100","","","","15","","31","","","","99.63","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 15:00","2024","12","05","15:00","8.9","","8.9","","100","","","","17","","18","","","","99.47","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 16:00","2024","12","05","16:00","8.6","","8.6","","100","","","","17","","15","","","","99.31","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 17:00","2024","12","05","17:00","8.0","","8.0","","100","","","","21","","8","","","","99.27","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 18:00","2024","12","05","18:00","7.6","","7.5","","100","","","","19","","10","","","","99.16","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 19:00","2024","12","05","19:00","7.3","","7.3","","100","","","","18","","10","","","","99.04","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 20:00","2024","12","05","20:00","7.6","","7.6","","100","","","","18","","11","","","","98.90","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 21:00","2024","12","05","21:00","6.6","","6.6","","100","","","","24","","17","","","","98.93","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 22:00","2024","12","05","22:00","6.0","","5.5","","97","","","","25","","17","","","","98.85","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-05 23:00","2024","12","05","23:00","5.6","","3.8","","88","","","","24","","18","","","","98.86","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 00:00","2024","12","06","00:00","4.8","","1.9","","81","","","","24","","19","","","","98.82","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 01:00","2024","12","06","01:00","3.5","","1.3","","85","","","","25","","15","","","","98.83","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 02:00","2024","12","06","02:00","2.5","","-0.3","","82","","","","26","","21","","","","98.93","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 03:00","2024","12","06","03:00","1.8","","-0.4","","85","","","","25","","17","","","","99.01","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 04:00","2024","12","06","04:00","1.8","","-0.7","","84","","","","24","","18","","","","99.08","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 05:00","2024","12","06","05:00","2.0","","-0.2","","85","","","","24","","15","","","","99.14","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 06:00","2024","12","06","06:00","2.2","","-1.4","","77","","","","27","","26","","","","99.19","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 07:00","2024","12","06","07:00","1.9","","-2.6","","72","","","","26","","24","","","","99.33","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 08:00","2024","12","06","08:00","1.2","","-4.0","","68","","","","26","","22","","","","99.47","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 09:00","2024","12","06","09:00","1.8","","-3.5","","68","","","","26","","24","","","","99.59","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 10:00","2024","12","06","10:00","1.6","","-3.5","","69","","","","26","","29","","","","99.69","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 11:00","2024","12","06","11:00","1.8","","-3.7","","67","","","","26","","20","","","","99.77","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 12:00","2024","12","06","12:00","1.7","","-3.6","","68","","","","27","","24","","","","99.77","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 13:00","2024","12","06","13:00","1.2","","-3.8","","69","","","","28","","23","","","","99.81","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 14:00","2024","12","06","14:00","1.4","","-5.8","","59","","","","28","","26","","","","99.85","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 15:00","2024","12","06","15:00","1.2","","-5.8","","60","","","","27","","21","","","","99.93","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 16:00","2024","12","06","16:00","0.4","","-4.5","","69","","","","30","","19","","","","100.08","","","","","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 17:00","2024","12","06","17:00","-0.5","","-7.4","","59","","","","28","","19","","","","100.18","","","","-6","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 18:00","2024","12","06","18:00","-1.3","","-6.4","","68","","","","28","","22","","","","100.24","","","","-7","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 19:00","2024","12","06","19:00","-1.7","","-5.8","","74","","","","29","","26","","","","100.33","","","","-8","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 20:00","2024","12","06","20:00","-2.4","","-8.0","","66","","","","28","","22","","","","100.46","","","","-9","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 21:00","2024","12","06","21:00","-2.6","","-7.3","","70","","","","30","","22","","","","100.51","","","","-9","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 22:00","2024","12","06","22:00","-3.2","","-9.2","","63","","","","29","","23","","","","100.61","","","","-10","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-06 23:00","2024","12","06","23:00","-3.6","","-10.3","","60","","","","30","","24","","","","100.69","","","","-10","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-07 00:00","2024","12","07","00:00","-4.1","","-11.2","","58","","","","29","","25","","","","100.77","","","","-11","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-07 01:00","2024","12","07","01:00","-4.2","","-9.6","","66","","","","30","","22","","","","100.83","","","","-11","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-07 02:00","2024","12","07","02:00","-4.1","","-9.9","","64","","","","30","","20","","","","100.86","","","","-10","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-07 03:00","2024","12","07","03:00","-4.6","","-10.6","","63","","","","29","","21","","","","100.93","","","","-11","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-07 04:00","2024","12","07","04:00","-5.0","","-11.7","","59","","","","28","","22","","","","100.98","","","","-12","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-07 05:00","2024","12","07","05:00","-5.1","","-11.3","","62","","","","29","","20","","","","101.00","","","","-12","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-07 06:00","2024","12","07","06:00","-5.4","","-12.1","","59","","","","27","","12","","","","101.04","","","","-10","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-07 07:00","2024","12","07","07:00","-6.1","","-11.5","","66","","","","26","","12","","","","101.09","","","","-11","","NA"
"-63.58","44.66","HALIFAX DOCKYARD","8202240","2024-12-07 08:00","2024","12","07","08:00","-6.3","","-10.7","","71","","","","26","","10","","","","101.11","","","","-11","","NA"
